variable_name;variable_unit
Wind_speed_height_above_ground;m/
Relative_humidity_height_above_ground;
Temperature_height_above_ground;K
u-component_of_wind_height_above_ground;m/s
v-component_of_wind_height_above_ground;m/s
Wind_direction_from_which_blowing_height_above_ground;degree_true
Pressure_reduced_to_MSL_msl;Pa
Sensible_heat_net_flux_surface_10_Hour_Accumulation;W.m-2
Net_short-wave_radiation_flux_clear_sky_surface_10_Hour_Accumulation;W.m-2
Northward_turbulent_surface_stress_surface_10_Hour_Accumulation;N.m-2.s
Net_short_wave_radiation_flux_surface_10_Hour_Accumulation;W.m-2
Net_long-wave_radiation_flux_surface_10_Hour_Accumulation;W.m-2
Eastward_turbulent_surface_stress_surface_10_Hour_Accumulation;N.m-2.s
Total_column_integrated_water_vapour_surface;kg.m-2
Net_long-wave_radiation_flux_clear_sky_surface_10_Hour_Accumulation;W.m-2
Brightness_temperature;K
Evaporation_surface_10_Hour_Accumulation;kg.m-2
Latent_heat_net_flux_surface_10_Hour_Accumulation;W.m-2
Downward_long-wave_radiation_flux_surface_10_Hour_Accumulation;W.m-2
Medium_cloud_cover_surface;%
Temperature_surface;K
Pressure_surface;Pa
Specific_humidity_height_above_ground;kg/kg
High_cloud_cover_surface;%
Planetary_boundary_layer_height_surface;m
Temperature_height_above_ground_1_Hour_Maximum;K
Temperature_height_above_ground_1_Hour_Minimum;K
Convective_available_potential_energy_surface_layer;J/kg
Low_cloud_cover_surface;%
Rain_precipitation_rate_surface_26_Hour_Accumulation;kg.m-2.s-1
Dewpoint_temperature_height_above_ground;K
