variableName;standardizedVariableName
Temperature_height_above_ground;airTemperature
air_temperature;airTemperature
Planetary_boundary_layer_height_surface;boundaryLayerHeight
Brightness_temperature;brightnessTemperature
Convective_available_potential_energy_surface_layer;cape
Dewpoint_temperature_height_above_ground;dewPointTemperature
dew_point_temperature;dewPointTemperature
Downward_long-wave_radiation_flux_surface_10_Hour_Accumulation;downwardLongwaveRadiation
Eastward_turbulent_surface_stress_surface_10_Hour_Accumulation;eastwardSurfaceStress
Evaporation_surface_10_Hour_Accumulation;evaporation
ground_state_code;groundStateCode
gust_direction;gustDirection
High_cloud_cover_surface;highCloudCover
horizontal_visibility;horizontalVisibility
Rain_precipitation_rate_surface_26_Hour_Accumulation;hourlyPrecipitation
hourly_precipitation;hourlyPrecipitation
hourly_global_radiation;hourlyGlobalRadiation
Latent_heat_net_flux_surface_10_Hour_Accumulation;latentHeatFlux
Low_cloud_cover_surface;lowCloudCover
Temperature_height_above_ground_1_Hour_Maximum;maxAirTemperature
max_air_temperature;maxAirTemperature
max_relative_humidity;maxRelativeHumidity
max_wind_direction;maxWindDirection
max_wind_gust;maxWindGust
max_wind_speed;maxWindSpeed
Medium_cloud_cover_surface;mediumCloudCover
Temperature_height_above_ground_1_Hour_Minimum;minAirTemperature
min_air_temperature;minAirTemperature
min_relative_humidity;minRelativeHumidity
Net_long-wave_radiation_flux_surface_10_Hour_Accumulation;netLongwaveRadiation
Net_long-wave_radiation_flux_clear_sky_surface_10_Hour_Accumulation;netLongwaveRadiationClearSky
Net_short_wave_radiation_flux_surface_10_Hour_Accumulation;netShortwaveRadiation
Net_short-wave_radiation_flux_clear_sky_surface_10_Hour_Accumulation;netShortwaveRadiationClearSky
Northward_turbulent_surface_stress_surface_10_Hour_Accumulation;northwardSurfaceStress
Relative_humidity_height_above_ground;relativeHumidity
relative_humidity;relativeHumidity
Pressure_reduced_to_MSL_msl;seaLevelPressure
sea_level_pressure;seaLevelPressure
Sensible_heat_net_flux_surface_10_Hour_Accumulation;sensibleHeatFlux
snow_depth;snowDepth
soil_temperature_100cm;soilTemperature100cm
soil_temperature_10cm;soilTemperature10cm
soil_temperature_20cm;soilTemperature20cm
soil_temperature_50cm;soilTemperature50cm
Specific_humidity_height_above_ground;specificHumidity
Pressure_surface;stationPressure
station_pressure;stationPressure
sunshine_duration;sunshineDuration
Temperature_surface;surfaceTemperature
total_cloud_cover;totalCloudCover
Total_column_integrated_water_vapour_surface;totalColumnWaterVapor
u-component_of_wind_height_above_ground;uWindComponent
v-component_of_wind_height_above_ground;vWindComponent
Wind_direction_from_which_blowing_height_above_ground;windDirection
wind_direction;windDirection
Wind_speed_height_above_ground;windSpeed
wind_speed;windSpeed
airTemperature;airTemperature
dewPointTemperature;dewPointTemperature
maxAirTemperature;maxAirTemperature
minAirTemperature;minAirTemperature
relativeHumidity;relativeHumidity
maxRelativeHumidity;maxRelativeHumidity
minRelativeHumidity;minRelativeHumidity
windDirection;windDirection
windSpeed;windSpeed
maxWindDirection;maxWindDirection
maxWindSpeed;maxWindSpeed
gustDirection;gustDirection
maxWindGust;maxWindGust
hourlyPrecipitation;hourlyPrecipitation
soilTemperature10cm;soilTemperature10cm
soilTemperature20cm;soilTemperature20cm
soilTemperature50cm;soilTemperature50cm
soilTemperature100cm;soilTemperature100cm
groundStateCode;groundStateCode
snowDepth;snowDepth
horizontalVisibility;horizontalVisibility
totalCloudCover;totalCloudCover
sunshineDuration;sunshineDuration
hourlyGlobalRadiation;hourlyGlobalRadiation
stationPressure;stationPressure
seaLevelPressure;seaLevelPressure
